STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,TRDAR_CHNGE_IX,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
20231,11500,강서구,LL,다이나믹,87,48,104,52
20231,11380,은평구,LL,다이나믹,97,50,104,52
20231,11200,성동구,LH,상권확장,97,53,104,52
20231,11170,용산구,HH,정체,113,56,104,52
20231,11530,구로구,HL,상권축소,106,50,104,52
20231,11230,동대문구,HH,정체,113,53,104,52
20231,11215,광진구,LL,다이나믹,101,51,104,52
20231,11440,마포구,LL,다이나믹,89,48,104,52
20231,11305,강북구,LL,다이나믹,99,48,104,52
20231,11410,서대문구,HH,정체,105,53,104,52
20231,11560,영등포구,HH,정체,109,52,104,52
20231,11290,성북구,LH,상권확장,103,52,104,52
20231,11590,동작구,HH,정체,107,54,104,52
20231,11545,금천구,LL,다이나믹,99,50,104,52
20231,11350,노원구,LL,다이나믹,96,49,104,52
20231,11470,양천구,LL,다이나믹,100,49,104,52
20231,11140,중구,HH,정체,133,61,104,52
20231,11260,중랑구,LL,다이나믹,99,49,104,52
20231,11320,도봉구,LL,다이나믹,100,49,104,52
20232,11380,은평구,LL,다이나믹,98,51,106,52
20232,11500,강서구,LL,다이나믹,88,49,106,52
20232,11170,용산구,HH,정체,114,56,106,52
20232,11200,성동구,LH,상권확장,99,53,106,52
20232,11530,구로구,HL,상권축소,108,51,106,52
20232,11215,광진구,LL,다이나믹,102,51,106,52
20232,11230,동대문구,HH,정체,114,53,106,52
20232,11305,강북구,LL,다이나믹,100,48,106,52
20232,11410,서대문구,HH,정체,106,53,106,52
20232,11440,마포구,LL,다이나믹,90,49,106,52
20232,11290,성북구,LH,상권확장,104,53,106,52
20232,11590,동작구,HH,정체,108,54,106,52
20232,11350,노원구,LL,다이나믹,98,49,106,52
20232,11545,금천구,LL,다이나믹,100,50,106,52
20232,11740,강동구,LL,다이나믹,100,49,106,52
20232,11470,양천구,LL,다이나믹,102,49,106,52
20232,11140,중구,HH,정체,134,62,106,52
20232,11260,중랑구,LL,다이나믹,100,49,106,52
20232,11320,도봉구,LL,다이나믹,101,49,106,52
20232,11620,관악구,LL,다이나믹,101,50,106,52
20233,11290,성북구,LH,상권확장,105,53,107,52
20233,11560,영등포구,HH,정체,112,52,107,52
20233,11650,서초구,HH,정체,117,53,107,52
20233,11590,동작구,HH,정체,109,54,107,52
20233,11350,노원구,LL,다이나믹,99,50,107,52
20233,11545,금천구,LL,다이나믹,102,51,107,52
20233,11680,강남구,LL,다이나믹,102,49,107,52
20233,11740,강동구,LL,다이나믹,101,49,107,52
20233,11470,양천구,LL,다이나믹,104,49,107,52
20233,11710,송파구,LL,다이나믹,105,50,107,52
20233,11140,중구,HH,정체,136,62,107,52
20233,11260,중랑구,LL,다이나믹,102,49,107,52
20233,11320,도봉구,LL,다이나믹,103,50,107,52
20233,11620,관악구,LL,다이나믹,102,50,107,52
20233,11380,은평구,LL,다이나믹,100,51,107,52
20233,11500,강서구,LL,다이나믹,90,49,107,52
20233,11170,용산구,HH,정체,116,56,107,52
20233,11200,성동구,LH,상권확장,100,54,107,52
20233,11530,구로구,HL,상권축소,110,51,107,52
20233,11215,광진구,LL,다이나믹,104,51,107,52
20233,11230,동대문구,HH,정체,116,53,107,52
20233,11305,강북구,LL,다이나믹,102,48,107,52
20233,11410,서대문구,HH,정체,108,53,107,52
20233,11440,마포구,LL,다이나믹,91,49,107,52
20233,11110,종로구,HH,정체,131,62,107,52
20231,11110,종로구,HH,정체,128,61,104,52
20232,11110,종로구,HH,정체,129,62,106,52
20191,11110,종로구,HH,정체,112,57,93,48
20224,11110,종로구,HH,정체,126,61,103,51
