STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,STOR_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO,FRC_STOR_CO
20233,11740,강동구,CS300043,전자상거래업,2222.0,2226.0,0.1,2.0,3.3,74.0,4.0
20233,11740,강동구,CS300042,주유소,38.0,38.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS300041,예술품,30.0,30.0,0.0,0.0,3.3,1.0,0.0
20233,11740,강동구,CS300040,재생용품 판매점,41.0,41.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS300039,모터사이클및부품,19.0,19.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS300038,자동차부품,91.0,93.0,2.2,2.0,0.0,0.0,2.0
20233,11740,강동구,CS300037,중고차판매,8.0,8.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS300036,조명용품,146.0,146.0,0.0,0.0,0.7,1.0,0.0
20233,11740,강동구,CS300035,인테리어,215.0,215.0,0.5,1.0,1.9,4.0,0.0
20233,11740,강동구,CS300034,악기,24.0,24.0,4.2,1.0,0.0,0.0,0.0
20233,11740,강동구,CS300033,철물점,155.0,156.0,1.9,3.0,0.6,1.0,1.0
20233,11740,강동구,CS300032,가전제품,145.0,145.0,0.7,1.0,1.4,2.0,0.0
20233,11740,강동구,CS300031,가구,110.0,110.0,0.9,1.0,0.9,1.0,0.0
20233,11740,강동구,CS300030,중고가구,3.0,4.0,0.0,0.0,0.0,0.0,1.0
20233,11740,강동구,CS300029,애완동물,109.0,111.0,7.2,8.0,4.5,5.0,2.0
20233,11740,강동구,CS300028,화초,241.0,241.0,1.7,4.0,1.7,4.0,0.0
20233,11740,강동구,CS300027,섬유제품,130.0,131.0,3.1,4.0,2.3,3.0,1.0
20233,11740,강동구,CS300026,완구,42.0,42.0,2.4,1.0,0.0,0.0,0.0
20233,11740,강동구,CS300025,자전거 및 기타운송장비,80.0,80.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS300024,운동/경기용품,192.0,192.0,1.0,2.0,1.6,3.0,0.0
20233,11740,강동구,CS300023,미용재료,71.0,72.0,1.4,1.0,0.0,0.0,1.0
20233,11740,강동구,CS300022,화장품,552.0,585.0,1.5,9.0,2.9,17.0,33.0
20233,11740,강동구,CS300021,문구,129.0,144.0,4.2,6.0,2.1,3.0,15.0
20233,11740,강동구,CS300020,서적,113.0,116.0,1.7,2.0,0.9,1.0,3.0
20233,11740,강동구,CS300019,의료기기,158.0,159.0,0.0,0.0,1.3,2.0,1.0
20233,11740,강동구,CS300018,의약품,390.0,419.0,2.1,9.0,1.7,7.0,29.0
20233,11740,강동구,CS300017,시계및귀금속,93.0,95.0,0.0,0.0,2.1,2.0,2.0
20233,11740,강동구,CS300016,안경,69.0,91.0,0.0,0.0,4.4,4.0,22.0
20233,11740,강동구,CS300015,가방,101.0,102.0,0.0,0.0,2.0,2.0,1.0
20233,11740,강동구,CS300014,신발,109.0,110.0,0.0,0.0,4.5,5.0,1.0
20233,11740,강동구,CS300013,유아의류,120.0,120.0,0.8,1.0,2.5,3.0,0.0
20233,11740,강동구,CS300012,한복점,16.0,16.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS300011,일반의류,1001.0,1006.0,1.1,11.0,2.6,26.0,5.0
20233,11740,강동구,CS300010,반찬가게,404.0,410.0,3.9,16.0,3.7,15.0,6.0
20233,11740,강동구,CS300009,청과상,216.0,217.0,0.5,1.0,2.3,5.0,1.0
20233,11740,강동구,CS300008,수산물판매,122.0,122.0,0.0,0.0,2.5,3.0,0.0
20233,11740,강동구,CS300007,육류판매,230.0,231.0,1.7,4.0,4.8,11.0,1.0
20233,11740,강동구,CS300006,미곡판매,117.0,117.0,0.0,0.0,0.9,1.0,0.0
20233,11740,강동구,CS300005,주류도매,45.0,45.0,0.0,0.0,2.2,1.0,0.0
20233,11740,강동구,CS300004,핸드폰,178.0,184.0,0.0,0.0,2.7,5.0,6.0
20233,11740,강동구,CS300003,컴퓨터및주변장치판매,200.0,200.0,2.5,5.0,1.0,2.0,0.0
20233,11740,강동구,CS300002,편의점,35.0,427.0,2.3,10.0,4.0,17.0,392.0
20233,11740,강동구,CS300001,슈퍼마켓,484.0,496.0,3.4,17.0,3.8,19.0,12.0
20233,11740,강동구,CS200047,가정용품임대,36.0,36.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS200046,의류임대,12.0,12.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS200045,비디오/서적임대,10.0,12.0,0.0,0.0,0.0,0.0,2.0
20233,11740,강동구,CS200044,여행사,81.0,81.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS200043,건축물청소,162.0,167.0,0.0,0.0,1.2,2.0,5.0
20233,11740,강동구,CS200042,통번역서비스,23.0,23.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS200041,사진관,143.0,143.0,3.5,5.0,0.7,1.0,0.0
20233,11740,강동구,CS200040,녹음실,13.0,13.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS200039,DVD방,13.0,13.0,15.4,2.0,15.4,2.0,0.0
20233,11740,강동구,CS200038,독서실,96.0,112.0,1.8,2.0,4.5,5.0,16.0
20233,11740,강동구,CS200037,노래방,228.0,233.0,1.3,3.0,1.3,3.0,5.0
20233,11740,강동구,CS200036,고시원,13.0,13.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS200035,게스트하우스,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS200034,여관,101.0,102.0,4.9,5.0,2.9,3.0,1.0
20233,11740,강동구,CS200033,부동산중개업,1380.0,1381.0,0.1,2.0,2.5,34.0,1.0
20233,11740,강동구,CS200032,가전제품수리,133.0,133.0,1.5,2.0,1.5,2.0,0.0
20233,11740,강동구,CS200031,세탁소,161.0,217.0,2.3,5.0,1.8,4.0,56.0
20233,11740,강동구,CS200030,피부관리실,306.0,313.0,4.8,15.0,2.9,9.0,7.0
20233,11740,강동구,CS200029,네일숍,157.0,158.0,0.0,0.0,0.6,1.0,1.0
20233,11740,강동구,CS200028,미용실,905.0,970.0,1.9,18.0,2.4,23.0,65.0
20233,11740,강동구,CS200027,모터사이클수리,25.0,25.0,0.0,0.0,0.0,0.0,0.0
20233,11740,강동구,CS200026,자동차미용,58.0,64.0,3.1,2.0,1.6,1.0,6.0
