,STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,EXPNDTR_TOTAMT_AVG
0,2019-01-01,11,서울시,2.85E+11
1,2019-04-01,11,서울시,3.03E+11
2,2019-07-01,11,서울시,3.13E+11
3,2019-10-01,11,서울시,3.32E+11
4,2020-01-01,11,서울시,3.23E+11
5,2020-04-01,11,서울시,3.41E+11
6,2020-07-01,11,서울시,3.45E+11
7,2020-10-01,11,서울시,3.60E+11
8,2021-01-01,11,서울시,3.61E+11
9,2021-04-01,11,서울시,3.84E+11
10,2021-07-01,11,서울시,3.86E+11
11,2021-10-01,11,서울시,4.20E+11
12,2022-01-01,11,서울시,4.04E+11
13,2022-04-01,11,서울시,4.27E+11
14,2022-07-01,11,서울시,4.30E+11
15,2022-10-01,11,서울시,4.44E+11
16,2023-01-01,11,서울시,4.32E+11
17,2023-04-01,11,서울시,4.36E+11
18,2023-07-01,11,서울시,4.31E+11
19,2023-10-01,11,서울시,4.39E+11
20,2024-01-01,11,서울시,4.38E+11
21,2024-04-01,11,서울시,4.50E+11
22,2024-07-01,11,서울시,4.49E+11
23,2024-10-01,11,서울시,4.68E+11
