STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,TRDAR_CHNGE_IX,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
20233,11140590,광희동,HH,정체,151,58,107,52
20232,11140590,광희동,HH,정체,149,58,106,52
20231,11140590,광희동,HH,정체,147,58,104,52
20233,11140605,을지로동,HH,정체,162,71,107,52
20232,11140605,을지로동,HH,정체,161,71,106,52
20231,11140605,을지로동,HH,정체,160,70,104,52
20233,11140615,신당동,HH,정체,113,63,107,52
20232,11140615,신당동,HH,정체,110,63,106,52
20231,11140615,신당동,HH,정체,107,63,104,52
20233,11140625,다산동,LH,상권확장,107,54,107,52
20232,11140625,다산동,LH,상권확장,106,54,106,52
20231,11140625,다산동,LH,상권확장,104,54,104,52
20233,11140635,약수동,LH,상권확장,102,56,107,52
20232,11140635,약수동,LH,상권확장,100,56,106,52
20231,11140635,약수동,LH,상권확장,99,56,104,52
20233,11140645,청구동,LL,다이나믹,102,49,107,52
20232,11140645,청구동,LL,다이나믹,100,49,106,52
20231,11140645,청구동,LL,다이나믹,99,49,104,52
20233,11140650,신당5동,LH,상권확장,100,52,107,52
20232,11140650,신당5동,LH,상권확장,99,52,106,52
20231,11140650,신당5동,LL,다이나믹,99,51,104,52
20233,11140665,동화동,LL,다이나믹,105,52,107,52
20232,11140665,동화동,LH,상권확장,103,52,106,52
20231,11140665,동화동,LH,상권확장,100,52,104,52
20233,11140670,황학동,HH,정체,121,66,107,52
20232,11140670,황학동,HH,정체,120,66,106,52
20231,11140670,황학동,HH,정체,119,65,104,52
20233,11140680,중림동,HH,정체,118,57,107,52
20232,11140680,중림동,HH,정체,116,57,106,52
20231,11140680,중림동,HH,정체,113,57,104,52
20233,11290575,동선동,LL,다이나믹,103,50,107,52
20232,11290575,동선동,LL,다이나믹,102,50,106,52
20231,11290575,동선동,LL,다이나믹,101,49,104,52
20233,11290580,돈암1동,LL,다이나믹,96,52,107,52
20232,11290580,돈암1동,LH,상권확장,93,52,106,52
20231,11290580,돈암1동,LH,상권확장,89,52,104,52
20233,11290590,돈암2동,LL,다이나믹,86,49,107,52
20232,11290590,돈암2동,LL,다이나믹,84,49,106,52
20231,11290590,돈암2동,LL,다이나믹,84,48,104,52
20233,11290600,안암동,LH,상권확장,101,52,107,52
20232,11290600,안암동,LH,상권확장,101,52,106,52
20231,11290600,안암동,LH,상권확장,100,52,104,52
