STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,MT_AVRG_INCOME_AMT,INCOME_SCTN_CD,EXPNDTR_TOTAMT,FDSTFFS_EXPNDTR_TOTAMT,CLTHS_FTWR_EXPNDTR_TOTAMT,LVSPL_EXPNDTR_TOTAMT,MCP_EXPNDTR_TOTAMT,TRNSPORT_EXPNDTR_TOTAMT,EDC_EXPNDTR_TOTAMT,PLESR_EXPNDTR_TOTAMT,LSR_CLTUR_EXPNDTR_TOTAMT,ETC_EXPNDTR_TOTAMT,FD_EXPNDTR_TOTAMT
20231,11215,광진구,3192971,7,94779593000,20890784000,2984254000,2016273000,12347919000,5956030000,3158914000,4697744000,6487302000,5636812000,30603561000
20231,11440,마포구,3832436,8,1024107094000,30751673000,7053703000,2474929000,18507505000,3428960000,8466173000,9589375000,881500424000,8679864000,53654488000
20231,11530,구로구,2994059,7,1343755688000,24181621000,1395886000,2163266000,22077117000,3302443000,3962500000,3135865000,1259516797000,2954217000,21065976000
20231,11560,영등포구,3604887,7,211409909000,28381596000,4107783000,2787358000,21220059000,38273451000,3541679000,4888525000,36912853000,24441976000,46854629000
20231,11620,관악구,2771927,6,115651078000,29402491000,2679054000,1574315000,16839414000,2697308000,14762498000,5379816000,7269582000,4695170000,30351430000
20231,11320,도봉구,2785111,6,47199028000,14643964000,795042000,856017000,6241730000,4140538000,2190952000,1366850000,3094608000,1941577000,11927750000
20231,11545,금천구,2632285,6,72381528000,16391004000,15296799000,1227870000,8525016000,3703454000,1510718000,1876521000,8290313000,2043012000,13516821000
20231,11590,동작구,3454170,7,175536250000,23683885000,1078885000,1265256000,16591635000,95267132000,4102751000,2697425000,5414870000,3709398000,21725013000
20231,11350,노원구,3195375,7,119632862000,38027202000,1612428000,1299016000,18324021000,3694213000,8882137000,3248877000,12970672000,4918587000,26655709000
20231,11410,서대문구,3417706,7,119188962000,16377689000,1244646000,737007000,66206121000,2470370000,3328410000,2014188000,4349359000,3351667000,19109505000
20231,11650,서초구,4912401,9,629360080000,22326149000,4358072000,14928193000,69791017000,5833544000,12909234000,5835045000,264495851000,180967729000,47915246000
20231,11260,중랑구,2598785,6,64991013000,18837216000,1396028000,1379019000,10592175000,4202674000,2840400000,2873857000,3918210000,2732897000,16218537000
20231,11290,성북구,3281773,7,78828381000,21718711000,1577244000,1184422000,10317936000,5461054000,4451281000,2406448000,7003609000,3213193000,21494483000
20231,11500,강서구,3160623,7,231441288000,33744690000,5994758000,1963075000,51915876000,41204141000,6428158000,4779070000,33368789000,16106292000,35936439000
20231,11710,송파구,3995905,8,194138748000,39057484000,7084916000,4818622000,38620362000,8734054000,10460036000,5502300000,27110625000,7543533000,45206816000
20231,11200,성동구,3734499,7,84438182000,20433520000,3520749000,1170209000,13854021000,5560143000,2697268000,2761380000,4747713000,4199569000,25493610000
20231,11305,강북구,2547460,6,58425346000,14971700000,1421789000,1145072000,10153116000,3090055000,1531005000,3006296000,3749821000,2771459000,16585033000
20231,11470,양천구,3796034,8,104268070000,26544300000,1372115000,1210796000,19915797000,5631616000,12934401000,2255584000,10880024000,3902480000,19620957000
20231,11110,종로구,3725859,7,311838195000,15780632000,4837883000,1614689000,20312514000,8005310000,5731182000,4717779000,123981983000,81959610000,44896613000
20231,11170,용산구,3971498,8,237326473000,131722302000,2412071000,9684161000,5125990000,1842646000,1447862000,3033188000,25787276000,26630512000,29640465000
20231,11230,동대문구,3030256,7,87581454000,24994855000,2352351000,1567645000,20584672000,5468661000,2853921000,2240316000,4944359000,2324093000,20250581000
20231,11380,은평구,2912739,6,85565857000,20634652000,4033329000,1694185000,18754928000,3973567000,4676970000,3155769000,4706820000,3587162000,20348475000
20231,11680,강남구,4943841,9,2592265503000,43146364000,30537792000,8876412000,146160455000,28215177000,36072919000,11375959000,1342735006000,855300144000,89845275000
20231,11740,강동구,3292857,7,159194441000,22861481000,1955879000,1461612000,19731596000,3459627000,6359388000,2825075000,73785449000,3724616000,23029718000
20231,11140,중구,3513603,7,2565022761000,40313137000,7389385000,6818175000,13326121000,379813573000,26460302000,2950446000,1992152485000,61899119000,33900018000
20232,11500,강서구,3160623,7,196544942000,34606803000,6416265000,2093899000,31754728000,29615573000,6447544000,4985539000,25650372000,17705002000,37269217000
