STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_00_06_FLPOP_CO,TMZON_06_11_FLPOP_CO,TMZON_11_14_FLPOP_CO,TMZON_14_17_FLPOP_CO,TMZON_17_21_FLPOP_CO,TMZON_21_24_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
20191,11110,종로구,75174943,37418997,37755946,7564574,13679161,11910027,12384192,11754115,17882874,14655604,14832139,11824178,12211675,13640263,8011084,10868420,10875292,11083725,11343757,11319451,10325349,9358949
20191,11140,중구,64615409,32160550,32454860,5139538,10698647,12385050,11374093,10386764,14631316,11513954,13188050,10779078,10931280,11668403,6534645,9630185,9564536,9795540,10122990,9997620,8235164,7269374
20191,11170,용산구,68174599,32470460,35704139,8126790,11295328,12955266,11351904,9129935,15315376,17463225,14385402,8458553,8341597,11038415,8487409,9674691,9681827,9747796,9814186,9849363,9714954,9691783
20191,11200,성동구,78288748,37443521,40845228,11073286,12524424,13321227,12144623,11404624,17820566,19727064,16467406,9552560,9544559,13141971,9855189,11168653,11195181,11254695,11323103,11285456,11103159,10958501
20191,11215,광진구,100448729,47239683,53209045,14991774,17886384,16168074,14857188,14833448,21711862,28147177,20652143,10966929,10899418,16172330,13610731,14129528,14141085,14180894,14176822,14258738,14720356,14841308
20191,11230,동대문구,111561333,53751606,57809725,14788033,19949591,15618179,15718568,15994153,29492808,28288523,23362468,13851463,13804324,18284586,13969969,15901503,15879650,15937913,15972975,15850477,16001728,16017086
20191,11260,중랑구,105726619,49350033,56376586,15483572,13673366,15490425,15398860,17640132,28040266,29390652,21831529,11736152,11635660,17024606,14108020,14939472,14953301,14882939,14798477,14820778,15489154,15842499
20191,11290,성북구,127926756,58736958,69189799,22049933,20306203,16889915,19048193,17977731,31654783,33978158,26487720,14882236,14832659,21083697,16662287,18104844,18099477,18122319,18132026,18090584,18529247,18848259
20191,11305,강북구,105252544,48154372,57098172,14895102,14080285,13389190,15606484,16548731,30732751,28984934,21594559,11801179,11747050,17056595,14068226,14873596,14924309,14817027,14740748,14788366,15371596,15736902
20191,11320,도봉구,71005994,32645226,38360768,11085982,8584645,9130708,10416144,11274621,20513893,19348007,14741785,8036560,7985441,11491953,9402249,10033682,10088046,10010291,9931175,9953787,10359203,10629811
20191,11350,노원구,107151857,49434539,57717318,19430850,15134986,12617844,16195713,16523022,27249441,28209631,21970342,12437584,12528499,17975233,14030568,15102349,15088076,15117962,15045247,15075703,15739178,15983339
20191,11380,은평구,103508363,47071450,56436913,17102770,12810533,14745196,15953690,15411578,27484597,29500626,21498752,11165231,11016892,16299214,14027648,14614392,14624876,14567743,14488482,14528386,15175295,15509190
20191,11410,서대문구,98668647,45422060,53246586,13969790,18183332,14879151,15151725,13648766,22835882,24993010,20413769,12198567,12137870,16484311,12441120,14121187,14208322,14250533,14333228,14220687,13833107,13701583
20191,11440,마포구,123335129,56578430,66756699,16993237,24795593,22778527,19844337,15306759,23616676,30311990,24872383,15400686,15694443,21481197,15574427,17434241,17473396,17620755,17783604,17907822,17815258,17300054
