STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
20233,11290650,정릉4동,133,7.0,3.0,,,12.0,2.0,1.0,,2.0,11.0,,,,,,,,1.0,40.0
20233,11110515,청운효자동,93,6.0,3.0,,,4.0,1.0,1.0,2.0,2.0,8.0,,,,,,,,,26.0
20231,11200720,송정동,44,2.0,,,1.0,5.0,,1.0,,,,,,,,,,,,17.0
20231,11260550,면목5동,42,2.0,1.0,,,3.0,,,,,,,4.0,,,,,,,13.0
20233,11110530,사직동,206,18.0,24.0,,,15.0,,1.0,,1.0,1.0,,,3.0,,,,,2.0,34.0
20231,11440690,망원1동,95,2.0,2.0,,,11.0,,,,,,,,,1.0,,,,,23.0
20233,11110540,삼청동,49,10.0,4.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,16.0
20233,11110550,부암동,84,4.0,2.0,,,1.0,1.0,2.0,1.0,1.0,14.0,,,,,,,,,38.0
20233,11110560,평창동,162,6.0,2.0,,1.0,5.0,1.0,,,1.0,2.0,,,,,,,,,91.0
20233,11110570,무악동,42,2.0,1.0,1.0,,4.0,1.0,1.0,,,,,,,,,,,1.0,7.0
20233,11110580,교남동,78,4.0,3.0,2.0,,17.0,,,,1.0,1.0,,,,,,,,,26.0
20233,11110600,가회동,63,5.0,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,22.0
20233,11110615,종로1?2?3?4가동,500,19.0,35.0,,,47.0,1.0,2.0,,,4.0,,1.0,5.0,17.0,,,,5.0,72.0
20233,11110630,종로5?6가동,212,7.0,8.0,,,31.0,,1.0,,,1.0,,4.0,,3.0,,,,1.0,23.0
20233,11110640,이화동,119,4.0,4.0,1.0,,11.0,,,2.0,,37.0,,,,,,,,1.0,28.0
20233,11110650,혜화동,145,6.0,5.0,,,16.0,3.0,1.0,1.0,4.0,26.0,,,1.0,,,,,,36.0
20233,11110670,창신1동,111,3.0,4.0,,,9.0,,2.0,,,,,1.0,,7.0,,,,2.0,11.0
20233,11110680,창신2동,38,2.0,1.0,,,5.0,,,,,,,,,,,,,,
20233,11110690,창신3동,24,3.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,5.0
20233,11110700,숭인1동,43,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,,14.0
20231,11110710,숭인2동,89,4.0,3.0,,1.0,4.0,,,,,,,2.0,,3.0,,,,2.0,6.0
20232,11110710,숭인2동,89,4.0,3.0,,1.0,4.0,,,,,,,2.0,,3.0,,,,2.0,6.0
20231,11110515,청운효자동,93,6.0,3.0,,,4.0,1.0,1.0,2.0,2.0,8.0,,,,,,,,,26.0
20232,11110515,청운효자동,93,6.0,3.0,,,4.0,1.0,1.0,2.0,2.0,8.0,,,,,,,,,26.0
20232,11110530,사직동,206,18.0,24.0,,,15.0,,1.0,,1.0,1.0,,,3.0,,,,,2.0,34.0
20231,11110540,삼청동,49,10.0,4.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,16.0
20232,11110540,삼청동,49,10.0,4.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,16.0
20231,11110550,부암동,84,4.0,2.0,,,1.0,1.0,2.0,1.0,1.0,14.0,,,,,,,,,38.0
20232,11110550,부암동,84,4.0,2.0,,,1.0,1.0,2.0,1.0,1.0,14.0,,,,,,,,,38.0
20231,11110560,평창동,162,6.0,2.0,,1.0,5.0,1.0,,,1.0,2.0,,,,,,,,,91.0
20232,11110560,평창동,162,6.0,2.0,,1.0,5.0,1.0,,,1.0,2.0,,,,,,,,,91.0
20231,11110570,무악동,42,2.0,1.0,1.0,,4.0,1.0,1.0,,,,,,,,,,,1.0,7.0
20232,11110570,무악동,42,2.0,1.0,1.0,,4.0,1.0,1.0,,,,,,,,,,,1.0,7.0
20231,11110580,교남동,78,4.0,3.0,2.0,,17.0,,,,1.0,1.0,,,,,,,,,26.0
20232,11110580,교남동,78,4.0,3.0,2.0,,17.0,,,,1.0,1.0,,,,,,,,,26.0
20231,11110600,가회동,63,5.0,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,22.0
20232,11110600,가회동,63,5.0,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,22.0
20231,11110615,종로1?2?3?4가동,500,19.0,35.0,,,47.0,1.0,2.0,,,4.0,,1.0,5.0,17.0,,,,5.0,72.0
20232,11110615,종로1?2?3?4가동,500,19.0,35.0,,,47.0,1.0,2.0,,,4.0,,1.0,5.0,17.0,,,,5.0,72.0
