STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
20231,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20231,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20231,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20231,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20231,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20231,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20231,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20231,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20231,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20231,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20231,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20231,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20231,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20231,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
20231,11560,영등포구,2400,97,137,7.0,8,248,20,24,11,9,4,,4.0,3,54.0,,,,20,572
20231,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
20231,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20231,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20231,11740,강동구,2063,63,56,3.0,15,225,25,24,15,14,6,,1.0,3,4.0,,,,15,405
20232,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20232,11140,중구,2071,89,151,2.0,3,159,4,12,9,13,29,1.0,7.0,15,48.0,,,,27,236
20232,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20232,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20232,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20232,11230,동대문구,1987,62,50,4.0,14,198,23,21,14,12,80,,7.0,2,28.0,,,,15,378
20232,11260,중랑구,1840,54,30,3.0,12,175,16,24,12,10,8,,40.0,3,7.0,,,1.0,15,403
20232,11290,성북구,2380,81,51,1.0,6,184,33,29,20,14,157,,3.0,2,4.0,,,,14,669
20232,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20232,11320,도봉구,1432,58,27,1.0,8,116,20,23,12,10,20,,2.0,2,4.0,,,,8,481
20232,11350,노원구,2586,77,54,3.0,7,205,35,40,26,26,114,,2.0,5,5.0,,,,15,661
20232,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20232,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20232,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20232,11500,강서구,2714,76,66,3.0,15,247,39,35,20,23,19,,3.0,5,3.0,25.0,,,22,646
20232,11530,구로구,2192,65,62,2.0,7,169,26,25,13,14,29,1.0,26.0,6,68.0,,,,13,624
