자치구,행정동코드,행정동,Unnamed: 3,Unnamed: 4
강남구,11680660.0,개포1동,,
강남구,11680670.0,개포2동,,
강남구,11680670.0,개포2동,,
강남구,11680690.0,개포4동,,
강남구,11680521.0,논현1동,,
강남구,11680531.0,논현2동,,
강남구,11680600.0,대치1동,,
강남구,11680610.0,대치2동,,
강남구,11680630.0,대치4동,,
강남구,11680655.0,도곡1동,,
강남구,11680656.0,도곡2동,,
강남구,11680580.0,삼성1동,,
강남구,11680590.0,삼성2동,,
강남구,11680700.0,세곡동,,
강남구,11680700.0,세곡동,,
강남구,11680700.0,세곡동,,
강남구,11680750.0,수서동,,
강남구,11680510.0,신사동,,
강남구,11680510.0,신사동,,
강남구,11680545.0,압구정동,,
강남구,11680545.0,압구정동,,
강남구,11680640.0,역삼1동,,
강남구,11680650.0,역삼2동,,
강남구,11680730.0,일원1동,,
강남구,11680730.0,일원1동,,
강남구,11680740.0,일원2동,,
강남구,11680740.0,일원2동,,
강남구,11680740.0,일원2동,,
강남구,11680720.0,일원본동,,
강남구,11680720.0,일원본동,,
강남구,11680565.0,청담동,,
강동구,11740515.0,강일동,,
강동구,11740515.0,강일동,,
강동구,11740550.0,고덕제1동,,
강동구,11740560.0,고덕제2동,,
강동구,11740685.0,길동,,
강동구,11740690.0,둔촌제1동,,
강동구,11740700.0,둔촌제2동,,
강동구,11740530.0,명일제1동,,
강동구,11740540.0,명일제2동,,
강동구,11740520.0,상일동,,
강동구,11740640.0,성내제1동,,
강동구,11740650.0,성내제2동,,
강동구,11740660.0,성내제3동,,
강동구,11740570.0,암사제1동,,
강동구,11740580.0,암사제2동,,
강동구,11740590.0,암사제3동,,
강동구,11740600.0,천호제1동,,
강동구,11740610.0,천호제2동,,
강동구,11740620.0,천호제3동,,
강북구,11305535.0,미아동,,
강북구,11305590.0,번제1동,,
강북구,11305600.0,번제2동,,
강북구,11305606.0,번제3동,,
강북구,11305575.0,삼각산동,,
강북구,11305534.0,삼양동,,
강북구,11305545.0,송중동,,
강북구,11305555.0,송천동,,
강북구,11305610.0,수유제1동,,
강북구,11305620.0,수유제2동,,
강북구,11305630.0,수유제3동,,
강북구,11305645.0,우이동,,
강북구,11305645.0,우이동,,
강북구,11305660.0,인수동,,
강서구,11500603.0,가양제1동,,
강서구,11500603.0,가양제1동,,
강서구,11500604.0,가양제2동,,
강서구,11500605.0,가양제3동,,
강서구,11500605.0,가양제3동,,
강서구,11500620.0,공항동,,
강서구,11500620.0,공항동,,
강서구,11500620.0,공항동,,
강서구,11500620.0,공항동,,
강서구,11500520.0,등촌제1동,,
강서구,11500530.0,등촌제2동,,
강서구,11500535.0,등촌제3동,,
강서구,11500611.0,발산제1동,,
강서구,11500611.0,발산제1동,,
강서구,11500630.0,방화제1동,,
강서구,11500640.0,방화제2동,,
강서구,11500640.0,방화제2동,,
강서구,11500641.0,방화제3동,,
강서구,11500510.0,염창동,,
강서구,11500615.0,우장산동,,
강서구,11500615.0,우장산동,,
강서구,11500590.0,화곡본동,,
강서구,11500540.0,화곡제1동,,
강서구,11500550.0,화곡제2동,,
강서구,11500560.0,화곡제3동,,
강서구,11500570.0,화곡제4동,,
강서구,11500591.0,화곡제6동,,
강서구,11500593.0,화곡제8동,,
관악구,11620585.0,낙성대동,,
관악구,11620775.0,난곡동,,
관악구,11620715.0,난향동,,
관악구,11620630.0,남현동,,
관악구,11620735.0,대학동,,
관악구,11620765.0,미성동,,
관악구,11620525.0,보라매동,,
관악구,11620745.0,삼성동,,
관악구,11620665.0,서림동,,
관악구,11620645.0,서원동,,
관악구,11620565.0,성현동,,
관악구,11620695.0,신림동,,
관악구,11620685.0,신사동,,
관악구,11620655.0,신원동,,
관악구,11620605.0,은천동,,
관악구,11620625.0,인헌동,,
관악구,11620725.0,조원동,,
관악구,11620615.0,중앙동,,
관악구,11620595.0,청룡동,,
관악구,11620545.0,청림동,,
관악구,11620575.0,행운동,,
광진구,11215810.0,광장동,,
광진구,11215850.0,구의제1동,,
광진구,11215860.0,구의제2동,,
광진구,11215870.0,구의제3동,,
광진구,11215730.0,군자동,,
광진구,11215780.0,능동,,
광진구,11215820.0,자양제1동,,
광진구,11215830.0,자양제2동,,
광진구,11215840.0,자양제3동,,
광진구,11215847.0,자양제4동,,
광진구,11215740.0,중곡제1동,,
광진구,11215750.0,중곡제2동,,
광진구,11215760.0,중곡제3동,,
광진구,11215770.0,중곡제4동,,
광진구,11215710.0,화양동,,
구로구,11530595.0,가리봉동,,
구로구,11530740.0,개봉제1동,,
구로구,11530750.0,개봉제2동,,
구로구,11530760.0,개봉제3동,,
구로구,11530720.0,고척제1동,,
구로구,11530730.0,고척제2동,,
구로구,11530520.0,구로제1동,,
구로구,11530530.0,구로제2동,,
구로구,11530540.0,구로제3동,,
구로구,11530550.0,구로제4동,,
구로구,11530560.0,구로제5동,,
구로구,11530790.0,수궁동,,
구로구,11530790.0,수궁동,,
구로구,11530510.0,신도림동,,
구로구,11530770.0,오류제1동,,
구로구,11530780.0,오류제2동,,
구로구,11530780.0,오류제2동,,
구로구,11530780.0,오류제2동,,
금천구,11545510.0,가산동,,
금천구,11545610.0,독산1동,,
금천구,11545620.0,독산2동,,
금천구,11545630.0,독산3동,,
금천구,11545640.0,독산4동,,
금천구,11545670.0,시흥1동,,
금천구,11545680.0,시흥2동,,
금천구,11545690.0,시흥3동,,
금천구,11545700.0,시흥4동,,
금천구,11545710.0,시흥5동,,
노원구,11350605.0,공릉1.3동,,
노원구,11350600.0,공릉2동,,
노원구,11350720.0,상계10동,,
노원구,11350630.0,상계1동,,
노원구,11350640.0,상계2동,,
노원구,11350665.0,상계3.4동,,
노원구,11350670.0,상계5동,,
노원구,11350695.0,상계6.7동,,
